Title,Price,Subscribers,Reviews,Length,Reviews Percent
Learning Axure RP,75,631,103,4.5,16.323296354992074
"Complete guide to install Wordpress, PHP on Cloud,AWS or VPS",50,1386,17,3.0,1.2265512265512266
"Kids Coding -Introduction to HTML, CSS and JavaScript",200,2355,143,7.0,6.072186836518047
Introduction to Voice Design with Amazon's Alexa,Free,6742,1036,41.0,15.366360130525067
How to Create a Social Network For a Niche-Related Community,100,1853,34,2.0,1.834862385321101
Webpack 1 & 2 - The Complete Guide,40,252,46,6.5,18.253968253968253
Star Rating Project AJAX with JSON response from PHP MySQL,120,1302,18,1.5,1.3824884792626728
Wordpress for beginners :Build Websites Fast without Coding ,50,1658,72,5.0,4.342581423401689
ASP.Net MVC Quick Start,Free,15092,1234,5.5,8.17651736019083
Build a Chatbot integrated Website using Bootstrap 4,50,165,13,3.0,7.878787878787878
How To Create A WordPress Website Without Paying A Developer,20,4333,16,1.0,0.3692591737825987
PSD to Bootstrap 3 for Beginners using HTML & CSS,20,976,93,2.5,9.528688524590164
Build Advanced Responsive Websites with Foundation 6 & SASS,200,1276,245,22.5,19.20062695924765
Learn Essential Javascript Fundamentals - Lite,20,1476,27,39.0,1.8292682926829267
Learn HTML in 2 hours!,Free,5351,235,1.5,4.391702485516726
Laravel 4 try and enjoy php coding,20,2402,26,2.0,1.0824313072439635
Wordpress Beginner Tutorial: Build Your First Website,Free,6402,104,1.5,1.6244923461418308
Build Complex Express Sites with Redis and Socket IO,125,223,26,3.5,11.659192825112108
Building a ASP.NET MVC 5 Membership Website,95,654,86,25.5,13.149847094801222
Drupal Views: Introduction to Enhancing Your Drupal Website,105,1262,36,2.5,2.8526148969889067
Bootstrap Bootcamp - Responsive web development- 8 projects,100,253,34,7.0,13.438735177865613
Self Advertise Using PowerPoint Twitter and Facebook on ios,20,1780,15,36.0,0.8426966292134831
Learning Bootstrap 3 - Tutorial From Infinite Skills,50,1266,90,3.0,7.109004739336493
Practical Web Development: Make Websites Quickly And Easily,20,2389,7,2.0,0.2930096274591879
"Learn animation using CSS3, Javascript and HTML5",40,1468,54,2.5,3.6784741144414173
Creating Interactive HTML5 Video,25,838,13,2.0,1.5513126491646778
Optimizing Wordpress for More Speed and Revenue,Free,2649,16,35.0,0.604001510003775
JavaScript project Learn to create a memory Game and more,95,6000,21,1.5,0.35000000000000003
The Complete JavaScript Bootcamp,195,1839,91,5.0,4.9483414899401845
JavaScript for Absolute Beginners,20,10689,394,2.0,3.6860323697258863
Complete JavaScript Course for Beginners with Easy Examples,200,7449,91,4.0,1.2216404886561953
Angular 2 Master Class with Alejandro Rangel,30,4157,206,9.5,4.95549675246572
Quick learning jQuery web development,150,3388,67,3.0,1.9775678866587958
Google Blogger Course,60,1343,11,3.5,0.8190618019359642
"Ajax in JavaScript and JQuery, with PHP - Creating Chat App",200,3399,85,1.5,2.5007355104442484
PHP Tutorial: Learn PHP Basic Programming for Beginners,20,2510,21,1.5,0.8366533864541833
Mastering Modern Web Development Using React,195,1537,8,2.5,0.520494469746259
"Full Stack JavaScript: Learn Backbone.js, Node.js & MongoDB",50,6134,93,2.0,1.5161395500489077
The Essential Web Developer Course - Build 12 Websites,200,9355,390,16.5,4.168893639764832
Build Powerful Websites & Blogs using WordPress - No Coding,20,1024,14,3.0,1.3671875
Learn to Build Web Apps using UnderscoreJS : Code Like a Pro,40,325,37,3.5,11.384615384615385
